"id","date","price","bedrooms","bathrooms","sqft_lot","sqft_living","lat","long"
"36179","20141013T000000","0.74","1","1","30","32","-70.63408","-33.44934"
"36180","20141013T000000","0.88","1","1","32","32","-70.64387","-33.44648"
"36183","20141013T000000","1.07","1","1","40","43","-70.58536","-33.41359"
"36184","20141013T000000","1.29","1","1","40","43","-70.6207","-33.42474"
"36185","20141013T000000","1.47","1","1","45","51","-70.61547","-33.42495"
"36189","20141013T000000","8.46","1","1","35","35","-70.699","-33.45908"
"36190","20141013T000000","9.19","1","1","45","45","-70.65949","-33.45647"
"36191","20141013T000000","9.19","1","1","26","27","-70.67098","-33.44534"
"36192","20141013T000000","9.56","1","1","29","31","-70.65478","-33.44952"
"36193","20141013T000000","9.56","1","1","32","37","-70.6675","-33.42983"
"36194","20141013T000000","9.74","2","1","49","52","-70.66606","-33.41828"
"36195","20141013T000000","9.92","1","1","44","44","-70.66106","-33.44686"
"36196","20141013T000000","9.93","1","1","36","36","-70.65492","-33.44729"
"36197","20141013T000000","9.93","1","1","32","32","-70.65377","-33.44771"
"36198","20141013T000000","9.93","1","1","33","36","-70.63189","-33.45326"
"36199","20141013T000000","10.11","1","1","29","32","-70.64622","-33.46137"
"36200","20141013T000000","10.29","1","1","33","33","-70.64379","-33.44667"
"36201","20141013T000000","10.29","1","1","40","350","-70.5512","-33.39852"
"36202","20141013T000000","10.29","1","1","35","35","-70.62066","-33.4617"
"36203","20141013T000000","10.29","2","1","42","42","-70.67717","-33.4269"
"36204","20141013T000000","10.48","1","1","26","29","-70.64613","-33.46146"
"36205","20141013T000000","10.48","1","1","38","45","-70.62237","-33.47794"
"36206","20141013T000000","10.66","1","1","38","42","-70.60795","-33.51458"
"36207","20141013T000000","11.03","1","1","36","33","-70.6509","-33.44933"
"36208","20141013T000000","11.03","1","1","46","46","-70.64659","-33.45062"
"36209","20141013T000000","11.03","1","1","48","50","-70.65646","-33.41738"
"36210","20141013T000000","11.03","2","1","49","52","-70.65547","-33.41496"
"36211","20141013T000000","11.03","1","1","33","35","-70.64617","-33.46138"
"36212","20141013T000000","11.39","1","1","37","40","-70.60016","-33.46459"
"36214","20141013T000000","11.4","2","1","48","48","-70.6587","-33.49599"
"36215","20141013T000000","11.76","1","1","30","32","-70.66097","-33.45638"
"36216","20141013T000000","11.77","1","1","24","24","-70.60243","-33.41774"
"36217","20141013T000000","11.77","1","1","38","40","-70.63598","-33.43905"
"36218","20141013T000000","11.77","1","1","38","45","-70.65323","-33.49218"
"36219","20141013T000000","11.78","1","1","38","40","-70.6406","-33.4505"
"36220","20141013T000000","11.94","1","1","34","36","-70.64839","-33.44717"
"36221","20141013T000000","11.95","1","1","38","38","-70.57437","-33.41229"
"36222","20141013T000000","12","2","2","51","54","-70.6473","-33.48664"
"36223","20141013T000000","12.13","1","1","25","35","-70.65718","-33.43685"
"36224","20141013T000000","12.14","2","1","51","61","-70.62658","-33.47595"
"36227","20141013T000000","12.86","2","1","39","41","-70.59884","-33.52273"
"36229","20141013T000000","12.87","1","1","34","34","-70.58182","-33.4254"
"36232","20141013T000000","12.87","2","2","53","56","-70.63869","-33.44887"
"36233","20141013T000000","12.87","2","1","50","50","-70.6624","-33.50556"
"36235","20141013T000000","13","1","1","44","44","-70.6025","-33.43142"
"36237","20141013T000000","13.43","2","2","42","42","-70.64786","-33.47095"
"36236","20141013T000000","13.25","1","1","28","30","-70.65919","-33.44267"
"36225","20141013T000000","12.31","1","1","35","35","-70.60605","-33.43498"
"36226","20141013T000000","12.51","2","1","50","52","-70.61573","-33.49071"
"36228","20141013T000000","12.86","1","1","40","43","-70.63986","-33.45036"
"36230","20141013T000000","12.87","1","1","46","50","-70.61915","-33.43903"
"36234","20141013T000000","12.88","1","1","38","42","-70.63873","-33.44633"
"36238","20141013T000000","13.6","3","2","60","64","-70.65853","-33.50568"
"36239","20141013T000000","13.6","1","1","42","45","-70.59828","-33.45274"
"36240","20141013T000000","13.61","1","1","38","40","-70.64722","-33.44844"
"36241","20141013T000000","13.97","2","2","55","60","-70.65052","-33.49133"
"36242","20141013T000000","13.97","1","1","45","48","-70.6199","-33.4558"
"36243","20141013T000000","13.97","2","2","56","61","-70.58691","-33.48632"
"36244","20141013T000000","13.97","1","1","40","40","-70.60678","-33.43511"
"36245","20141013T000000","13.97","2","2","57","63","-70.58691","-33.48632"
"36246","20141013T000000","14","2","2","53","56","-70.65582","-33.46783"
"36248","20141013T000000","14.15","2","1","45","45","-70.64798","-33.48933"
"36249","20141013T000000","14.33","2","1","48","53","-70.61589","-33.49104"
"36250","20141013T000000","14.34","1","1","34","34","-70.59901","-33.4133"
"36251","20141013T000000","14.7","1","1","32","32","-70.61978","-33.42995"
"36252","20141013T000000","14.7","1","1","27","30","-70.61025","-33.42385"
"36253","20141013T000000","14.7","1","1","35","37","-70.62962","-33.45079"
"36254","20141013T000000","14.7","2","2","74","80","-70.6467","-33.48636"
"36255","20141013T000000","14.7","2","2","60","65","-70.59689","-33.48452"
"36256","20141013T000000","14.7","1","1","40","40","-70.51625","-33.37207"
"36257","20141013T000000","14.7","1","1","40","40","-70.61154","-33.42474"
"36286","20141013T000000","16.55","1","1","55","65","-70.58148","-33.43687"
"36247","20141013T000000","14.03","1","1","35","35","-70.64452","-33.44338"
